弁護士ドットコム	-3.196187129	-1
マクロミル	-3.176771017	-1
ぐるなび	-3.174094897	-1
コネクトテクノロジーズ	-3.157518286	-1
オーエムツーネットワーク	-3.153003083	-1
ウイン・インターナショナル	-3.116491331	-1
ＧＭＯペパボ	-3.095908129	-1
日本ゲームカード	-3.091098923	-1
銚子丸	-3.089842035	-1
チェルト	-3.085370046	-1
ペプチドリーム	-3.072091905	-1
ストリームメディアコーポレーシ	-3.066665985	-1
ＷＡＳＨハウス	-3.055284536	-1
ＭＳ－Ｊａｐａｎ	-3.041536598	-1
データリンクス	-3.003879422	-1
ゼネラルパッカー	-3.003513455	-1
アライドアーキテクツ	-2.99611887	-1
バリオセキュア・ネットワークス	-2.961437185	-1
ヒロセ通商	-2.956446333	-1
藤商事	-2.935788291	-1
ｓＭｅｄｉｏ	-2.929738264	-1
アカツキ	-2.915001246	-1
アイフラッグ	-2.879386159	-1
パーソルマーケティング	-2.870477302	-1
アイリッジ	-2.867168548	-1
サザビーリーグ	-2.85997381	-1
エイティング	-2.854365529	-1
イマジカデジタルスケープ	-2.839541637	-1
創通	-2.829114552	-1
ライフフーズ	-2.826989377	-1
ヤマノホールディングス	-2.826467245	-1
電通ライブ	-2.817776138	-1
綜合臨床ホールディングス	-2.808110649	-1
メドピア	-2.788500516	-1
ベリトランス	-2.788182688	-1
トレンダーズ	-2.785142415	-1
エスクリ	-2.777432028	-1
アイ・ユー・ケイ	-2.776086197	-1
アトラ	-2.764383179	-1
日本アクア	-2.736837909	-1
ベストワンドットコム	-2.705562687	-1
ノバレーゼ	-2.702326583	-1
ＴＡＴＥＲＵ	-2.691382689	-1
ハブ	-2.690286106	-1
ストリーム	-2.690266463	-1
オウチーノ	-2.617296105	-1
日本スキー場開発	-2.614645267	-1
オークファン	-2.604954299	-1
ＵＣＳ	-2.590495481	-1
ビスケーホールディングス	-2.590243921	-1
駅探	-2.556628277	-1
レイテックス	-2.538150106	-1
ビューティガレージ	-2.535559544	-1
カナミックネットワーク	-2.534915219	-1
フリークアウト・ホールディング	-2.52696924	-1
丸千代山岡家	-2.51030163	-1
ヒューマン・アソシエイツ・ホー	-2.501884416	-1
ＣＲＧホールディングス	-2.498007915	-1
ＭＲＴ	-2.497509909	-1
アルファポリス	-2.489289881	-1
ユニフォームネクスト	-2.484327941	-1
トリドールホールディングス	-2.470188264	-1
パルマ	-2.45128314	-1
ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ	-2.446316532	-1
イード	-2.439107489	-1
ペッパーフードサービス	-2.434428225	-1
パン・パシフィック・インターナ	-2.413137071	-1
ＣＲＩ・ミドルウェア	-2.401738042	-1
メディカル・データ・ビジョン	-2.394276718	-1
ケイブ	-2.386587169	-1
東京一番フーズ	-2.377441157	-1
大田花き	-2.37130239	-1
ディー・エヌ・エー	-2.370562704	-1
ＪＩＧ－ＳＡＷ	-2.349033453	-1
ほぼ日	-2.309789907	-1
インタースペース	-2.307118629	-1
ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ	-2.288259606	-1
ＧＭＯメディア	-2.287906647	-1
情報企画	-2.287121092	-1
テモナ	-2.283323147	-1
エラン	-2.276056204	-1
一家ダイニングプロジェクト	-2.259138703	-1
ＨＥＲＯＺ	-2.250767916	-1
ラクス	-2.247360475	-1
石井工作研究所	-2.245636212	-1
ピープル	-2.21767925	-1
ベネフィットジャパン	-2.210826134	-1
くら寿司	-2.203523116	-1
アルテ　サロン　ホールディング	-2.193618015	-1
ＰＲ　ＴＩＭＥＳ	-2.19107256	-1
ショーケース	-2.189163328	-1
ドワンゴ	-2.182631696	-1
オプテックス・エフエー	-2.181526411	-1
あんしん保証	-2.137365803	-1
オックスホールディングス	-2.12117645	-1
エヌ・ピー・シー	-2.11825618	-1
アールビバン	-2.081990873	-1
インソース	-2.065378428	-1
クエスト	-2.058122012	-1
ライク	-2.051364019	-1
ウィズ	-2.039055847	-1
アイフィスジャパン	-2.038764737	-1
いちたかガスワン	-2.017655111	-1
Ｔ＆Ｃメディカルサイエンス	-2.014324501	-1
がんこ炎	-2.005152354	-1
大崎エンジニアリング	-2.004200191	-1
エイチーム	-1.997726629	-1
マイネット	-1.970282188	-1
ピーバンドットコム	-1.967598817	-1
アイビー化粧品	-1.964711558	-1
リスクモンスター	-1.95568034	-1
ゼネラル・オイスター	-1.951094814	-1
システムインテグレータ	-1.945271505	-1
ニックス	-1.936639296	-1
エフティグループ	-1.934910602	-1
インパクトホールディングス	-1.924717244	-1
ケアネット	-1.917355882	-1
アクセルマーク	-1.912541847	-1
ジーエフシー	-1.907806781	-1
サインポスト	-1.898548063	-1
ＴＯＫＹＯ　ＢＡＳＥ	-1.874846437	-1
幼児活動研究会	-1.8664124	-1
ユニリタ	-1.865241892	-1
ギフト	-1.86501743	-1
オイシックス・ラ・大地	-1.863169281	-1
レッド・プラネット・ジャパン	-1.857972199	-1
ジューテック	-1.85393569	-1
スターティアホールディングス	-1.848468505	-1
スギホールディングス	-1.832351969	-1
ボルテージ	-1.824028865	-1
ランスタッド	-1.823338296	-1
オープンドア	-1.822321797	-1
クロス・マーケティング	-1.821027068	-1
中央経済社ホールディングス	-1.820297235	-1
トレードワークス	-1.819770661	-1
積和不動産九州	-1.811210864	-1
インフォマート	-1.803105301	-1
城南進学研究社	-1.798872795	-1
チームスピリット	-1.788282771	-1
ズーム	-1.782460998	-1
アイモバイル	-1.779221442	-1
シナジーマーケティング	-1.77156342	-1
メガネスーパー	-1.769540966	-1
イーレックス	-1.761615061	-1
シンワ	-1.746390208	-1
みんなのウェディング	-1.723457361	-1
ソフトウェア・サービス	-1.699416806	-1
ＷＯＷＯＷ	-1.693921853	-1
ムラチク	-1.68878259	-1
東部ネットワーク	-1.67444884	-1
サムシングホールディングス	-1.669277233	-1
シルバーエッグ・テクノロジー	-1.662585119	-1
ビーブレイクシステムズ	-1.659411003	-1
ミヤコ	-1.648933917	-1
ホリイフードサービス	-1.644598555	-1
湖池屋	-1.640849045	-1
パラカ	-1.621172136	-1
ムサシ	-1.602040743	-1
アセンテック	-1.594486846	-1
Ｈａｍｅｅ	-1.588393798	-1
メタップス	-1.582657329	-1
ナチュラム	-1.579008907	-1
チップワンストップ	-1.562951564	-1
ケア２１	-1.559678636	-1
Ａｉｍｉｎｇ	-1.553975525	-1
デジサート・ジャパン	-1.55052763	-1
オプティム	-1.54176097	-1
エネサーブ	-1.516937463	-1
串カツ田中ホールディングス	-1.512649141	-1
安藤薬業公司	-1.504540137	-1
ベクトル	-1.49193364	-1
ダイセキ環境ソリューション	-1.489191853	-1
カルラ	-1.488529214	-1
